----------Calculation 1: 101001010111 * 101000101----------
Step 0076: State=30, Head=26, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0077: State=30, Head=27, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0078: State=31, Head=28, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0079: State=31, Head=29, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0080: State=31, Head=30, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0081: State=31, Head=31, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0082: State=31, Head=32, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0083: State=31, Head=33, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0084: State=31, Head=34, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0085: State=31, Head=35, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0086: State=31, Head=36, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0087: State=32, Head=35, Tape=BBBBBBBBBBBB0B10100101011#B101000101BBBBBBBBBBBBBBBBBBBB
Step 0088: State=50, Head=34, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0089: State=50, Head=33, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0090: State=50, Head=32, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0091: State=50, Head=31, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0092: State=50, Head=30, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0093: State=50, Head=29, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0094: State=50, Head=28, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0095: State=50, Head=27, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0096: State=50, Head=26, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0097: State=51, Head=25, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0098: State=52, Head=24, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0099: State=52, Head=23, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0100: State=52, Head=22, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
